checkout_id,action,recoverability_score,amount,outcome
CHK_000001,NUDGE,0.2310064251928699,7390.0,PENDING
CHK_000002,NUDGE,0.2283147940042332,6555.0,RECOVERED
CHK_000003,NUDGE,0.5807266447187732,2399.0,PENDING
CHK_000004,NUDGE,0.5289500363704702,8726.0,PENDING
CHK_000005,NUDGE,0.4293350557955276,4797.0,PENDING
CHK_000006,NUDGE,0.3152372184178685,7708.0,PENDING
CHK_000007,NUDGE,0.5324517640220487,6684.0,RECOVERED
CHK_000008,NUDGE,0.4526600535765346,11382.0,RECOVERED
CHK_000009,NUDGE,0.1954101659704287,14383.0,PENDING
CHK_000010,NUDGE,0.1488277334269886,3306.0,PENDING
CHK_000011,NUDGE,0.219911800579018,1791.0,PENDING
CHK_000012,NUDGE,0.5438517758873495,702.0,PENDING
CHK_000013,NUDGE,0.5206067097167475,3011.0,PENDING
CHK_000014,NUDGE,0.3805949485951689,8620.0,PENDING
CHK_000015,NUDGE,0.4352633036513094,7658.0,PENDING
CHK_000016,NUDGE,0.2244528641250852,2098.0,PENDING
CHK_000017,NUDGE,0.3876778403823013,1718.0,PENDING
CHK_000018,NUDGE,0.3933687265761788,6100.0,PENDING
CHK_000019,NUDGE,0.4372628956941049,1106.0,PENDING
CHK_000020,NUDGE,0.4789985944014446,7955.0,PENDING
CHK_000021,NUDGE,0.3833935774924135,7471.0,PENDING
CHK_000022,NUDGE,0.464369592540496,8009.0,PENDING
CHK_000023,NUDGE,0.4623301371669804,1376.0,PENDING
CHK_000024,NUDGE,0.2020062802631657,7949.0,PENDING
CHK_000025,NUDGE,0.586145596567016,1080.0,RECOVERED
CHK_000026,NUDGE,0.3902257127348943,7117.0,RECOVERED
CHK_000027,NUDGE,0.2356110022021653,6611.0,PENDING
CHK_000028,NUDGE,0.2250219578766424,5913.0,PENDING
CHK_000029,NUDGE,0.3428466177135393,11761.0,PENDING
CHK_000030,NUDGE,0.4233709125984495,2071.0,PENDING
CHK_000031,NUDGE,0.5664949809181827,895.0,PENDING
CHK_000032,NUDGE,0.2271921135975944,9651.0,PENDING
CHK_000033,NUDGE,0.4369768062602862,5346.0,PENDING
CHK_000034,NUDGE,0.3734615876766727,1865.0,RECOVERED
CHK_000035,NUDGE,0.4648250082763061,4768.0,RECOVERED
CHK_000036,NUDGE,0.1550629746648097,7029.0,PENDING
CHK_000037,NUDGE,0.2130157122114248,6690.0,PENDING
CHK_000038,NUDGE,0.4581610709966453,7319.0,PENDING
CHK_000039,NUDGE,0.3832173258632484,1424.0,RECOVERED
CHK_000040,NUDGE,0.4284476300877899,4425.0,PENDING
CHK_000041,NUDGE,0.5911381380171833,1960.0,RECOVERED
CHK_000042,NUDGE,0.3987206917674337,3919.0,PENDING
CHK_000043,NUDGE,0.5412050679047057,7044.0,RECOVERED
CHK_000044,NUDGE,0.53412518568377,1831.0,PENDING
CHK_000045,NUDGE,0.4638573722460909,3332.0,PENDING
CHK_000046,NUDGE,0.5275293301472613,1166.0,PENDING
CHK_000047,NUDGE,0.2261241974065005,8376.0,PENDING
CHK_000048,NUDGE,0.4566861934564856,10747.0,PENDING
CHK_000049,NUDGE,0.5728445070902395,2146.0,RECOVERED
CHK_000050,NUDGE,0.4775165860213781,625.0,PENDING
CHK_000051,NUDGE,0.2221598923655035,7238.0,RECOVERED
CHK_000052,NUDGE,0.4508998227122225,4235.0,RECOVERED
CHK_000053,NUDGE,0.4626683050500347,617.0,RECOVERED
