checkout_id,action,execution_status,payload,simulated_outcome
CHK_000001,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 739.0}",PENDING
CHK_000002,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000003,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 239900, 'currency': 'INR', 'reference_id': 'CHK_000003', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000004,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000004', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000005,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},RECOVERED
CHK_000006,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000006', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000007,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 668400, 'currency': 'INR', 'reference_id': 'CHK_000007', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000008,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000009,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000009', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000010,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000011,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000012,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000013,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000014,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000014', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000015,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000015', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000016,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000017,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000018,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000019,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000020,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000021,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000022,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},RECOVERED
CHK_000023,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000024,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000025,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000026,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000027,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000027', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000028,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000029,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000030,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000031,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000032,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000033,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000034,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000035,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000036,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000037,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000038,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},RECOVERED
CHK_000039,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000040,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000040', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000041,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 196000, 'currency': 'INR', 'reference_id': 'CHK_000041', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000042,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000043,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 704400, 'currency': 'INR', 'reference_id': 'CHK_000043', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000044,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000045,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000046,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000047,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000048,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000049,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000049', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000050,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},PENDING
CHK_000051,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000052,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000052', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000053,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000054,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000055,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 271900, 'currency': 'INR', 'reference_id': 'CHK_000055', 'description': 'Checkout recovery payment link'}",RECOVERED
CHK_000056,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000057,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000057', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000058,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000059,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000060,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000061,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000062,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 978.3}",PENDING
CHK_000063,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000064,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000064', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000065,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000065', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000066,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000067,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000068,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('UPI')},PENDING
CHK_000069,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000070,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000071,DISCOUNT_OFFER,DISCOUNT_SENT,"{'coupon_code': 'SAVE10', 'discount_percent': 10, 'discount_value': 885.2}",PENDING
CHK_000072,RETRY_LINK,RETRY_SENT,"{'type': 'link', 'amount': 307300, 'currency': 'INR', 'reference_id': 'CHK_000072', 'description': 'Checkout recovery payment link'}",PENDING
CHK_000073,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000073', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
CHK_000074,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('WALLET')},PENDING
CHK_000075,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000076,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000077,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000078,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000079,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000079', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000080,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000080', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000081,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000082,STOP,SKIPPED,None,NOT_CONTACTED
CHK_000083,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000083', 'message': 'Complete your checkout. Your order is waiting.'}",PENDING
CHK_000084,PAYMENT_METHOD_SWITCH,METHOD_SWITCH_SENT,{'suggested_method': np.str_('CARD')},RECOVERED
CHK_000085,NUDGE,NUDGE_SENT,"{'channel': 'sms', 'checkout_id': 'CHK_000085', 'message': 'Complete your checkout. Your order is waiting.'}",RECOVERED
