checkout_id,timestamp,amount,payment_method,device_type,session_duration_seconds,inactivity_seconds,retry_count,checkout_step_reached,network_quality,payment_status,failure_reason_code,otp_attempts,upi_collect_expired,dropoff_cause,recovered,time_to_recovery_minutes,minutes_since_dropoff,recovery_probability_ground_truth,was_recovered
CHK_000001,2026-01-11 23:15:00,7390,WALLET,DESKTOP,406,122,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,131,0.2606,0
CHK_000002,2026-01-28 05:08:00,6555,CARD,DESKTOP,613,364,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,190,0.2509,0
CHK_000003,2026-01-25 20:13:00,2399,WALLET,MOBILE,746,263,1,OTP,Good,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,1,64.0,89,0.428,1
CHK_000004,2026-01-12 21:59:00,8726,CARD,DESKTOP,385,100,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,222.0,310,0.5042,1
CHK_000005,2026-01-04 22:35:00,4797,UPI,DESKTOP,389,370,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,338,0.6868,0
CHK_000006,2026-01-28 03:39:00,7708,WALLET,MOBILE,276,214,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,777.0,779,0.3214,1
CHK_000007,2026-01-03 11:21:00,6684,UPI,DESKTOP,207,154,2,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,231.0,293,0.4963,1
CHK_000008,2026-01-06 15:10:00,11382,WALLET,MOBILE,124,237,0,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,179,0.4471,0
CHK_000009,2026-01-29 20:03:00,14383,WALLET,MOBILE,784,162,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,194.0,1042,0.25,1
CHK_000010,2026-01-17 12:16:00,3306,WALLET,DESKTOP,558,430,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,3072,0.2132,0
CHK_000011,2026-01-28 07:53:00,1791,CARD,MOBILE,629,585,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,251.0,3102,0.1693,1
CHK_000012,2026-01-04 10:11:00,702,UPI,DESKTOP,363,142,0,OTP,Poor,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,205.0,240,0.4766,1
CHK_000013,2026-01-30 05:47:00,3011,WALLET,DESKTOP,528,278,1,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,352,0.5186,0
CHK_000014,2026-01-02 06:02:00,8620,UPI,DESKTOP,592,350,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,41.0,304,0.3506,1
CHK_000015,2026-01-21 17:35:00,7658,WALLET,DESKTOP,188,252,0,OTP,Poor,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,988,0.4345,0
CHK_000016,2026-01-02 18:37:00,2098,UPI,MOBILE,452,385,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,277,0.2869,0
CHK_000017,2026-01-16 13:19:00,1718,CARD,DESKTOP,520,232,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,264,0.4242,0
CHK_000018,2026-01-28 15:10:00,6100,UPI,DESKTOP,572,715,0,PAYMENT,Poor,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,1,97.0,233,0.1908,1
CHK_000019,2026-01-22 16:16:00,1106,WALLET,MOBILE,218,207,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,281,0.6619,0
CHK_000020,2026-01-26 10:31:00,7955,CARD,DESKTOP,274,405,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,1,0,PAYMENT_FAILURE,0,,26,0.5733,0
CHK_000021,2026-01-21 13:12:00,7471,WALLET,MOBILE,625,235,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,288,0.3903,0
CHK_000022,2026-01-16 17:57:00,8009,UPI,MOBILE,424,199,0,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,108,0.2816,0
CHK_000023,2026-01-16 01:39:00,1376,CARD,DESKTOP,469,66,1,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,105.0,120,0.6311,1
CHK_000024,2026-01-23 08:57:00,7949,CARD,DESKTOP,426,148,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,276.0,848,0.1566,1
CHK_000025,2026-01-10 09:00:00,1080,UPI,DESKTOP,426,470,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,69,0.5744,0
CHK_000026,2026-01-21 05:24:00,7117,CARD,MOBILE,551,540,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,100.0,250,0.2679,1
CHK_000027,2026-01-30 03:35:00,6611,WALLET,DESKTOP,143,277,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,7.0,33,0.3127,1
CHK_000028,2026-01-23 10:40:00,5913,WALLET,DESKTOP,342,31,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,264,0.111,0
CHK_000029,2026-01-11 15:05:00,11761,UPI,MOBILE,537,134,0,PAYMENT,Poor,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,1381,0.1234,0
CHK_000030,2026-01-13 03:46:00,2071,WALLET,MOBILE,215,389,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,17.0,84,0.3888,1
CHK_000031,2026-01-01 11:38:00,895,CARD,MOBILE,624,252,2,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,144,0.4242,0
CHK_000032,2026-01-08 17:30:00,9651,WALLET,DESKTOP,270,58,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,215,0.1411,0
CHK_000033,2026-01-17 22:34:00,5346,CARD,MOBILE,128,93,2,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,0,,283,0.4906,0
CHK_000034,2026-01-19 17:22:00,1865,UPI,DESKTOP,619,150,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,346,0.4846,0
CHK_000035,2026-01-11 18:05:00,4768,UPI,MOBILE,399,145,0,OTP,Average,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,0,,708,0.3678,0
CHK_000036,2026-01-24 07:51:00,7029,UPI,DESKTOP,253,192,2,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,2693,0.218,0
CHK_000037,2026-01-22 01:54:00,6690,WALLET,MOBILE,352,504,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,4272,0.1178,0
CHK_000038,2026-01-21 15:03:00,7319,UPI,DESKTOP,209,155,0,PAYMENT,Poor,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,145,0.4995,0
CHK_000039,2026-01-25 16:27:00,1424,CARD,MOBILE,677,746,0,PAYMENT,Good,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,1,271.0,289,0.1778,1
CHK_000040,2026-01-17 13:13:00,4425,UPI,MOBILE,640,436,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,1069,0.5105,0
CHK_000041,2026-01-27 21:57:00,1960,UPI,MOBILE,202,72,2,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,51,0.7426,0
CHK_000042,2026-01-30 17:03:00,3919,WALLET,MOBILE,214,91,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,596,0.2466,0
