checkout_id,timestamp,amount,payment_method,device_type,session_duration_seconds,inactivity_seconds,retry_count,checkout_step_reached,network_quality,payment_status,failure_reason_code,otp_attempts,upi_collect_expired,dropoff_cause,recovered,time_to_recovery_minutes,minutes_since_dropoff,recovery_probability_ground_truth,was_recovered,predicted_cause,prediction_confidence,chosen_action,ERV_score,prediction_confidence,explanation,recoverability_score
CHK_000001,2026-01-11 23:15:00,7390.0,WALLET,DESKTOP,406,122,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,131,0.2606,0,PRICE_HESITATION,0.9997857,DISCOUNT_OFFER,1813.83,0.9998,DISCOUNT_OFFER chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.231 | time=131min | amount=₹7390 | ERV=₹1814,0.23100642519286999
CHK_000002,2026-01-28 05:08:00,6555.0,CARD,DESKTOP,613,364,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,190,0.2509,0,PRICE_HESITATION,0.9997713,STOP,0.0,0.9998,Stopped by rule: MAX_TOUCHES,0.2283147940042332
CHK_000003,2026-01-25 20:13:00,2399.0,WALLET,MOBILE,746,263,1,OTP,Good,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,1,64.0,89,0.428,1,OTP_FRICTION,0.99973375,RETRY_LINK,1570.09,0.9997,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.581 | time=89min | amount=₹2399 | ERV=₹1570,0.5807266447187732
CHK_000004,2026-01-12 21:59:00,8726.0,CARD,DESKTOP,385,100,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,222.0,310,0.5042,1,OTP_FRICTION,0.99978393,NUDGE,4246.37,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.529 | time=310min | amount=₹8726 | ERV=₹4246,0.5289500363704702
CHK_000005,2026-01-04 22:35:00,4797.0,UPI,DESKTOP,389,370,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,338,0.6868,0,PAYMENT_FAILURE,0.9997305,PAYMENT_METHOD_SWITCH,2347.85,0.9997,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.429 | time=338min | amount=₹4797 | ERV=₹2348,0.42933505579552766
CHK_000006,2026-01-28 03:39:00,7708.0,WALLET,MOBILE,276,214,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,777.0,779,0.3214,1,DISTRACTION_TIMEOUT,0.9995421,NUDGE,2570.78,0.9995,NUDGE chosen | cause=DISTRACTION_TIMEOUT | confidence=1.000 | recoverability=0.315 | time=779min | amount=₹7708 | ERV=₹2571,0.31523721841786856
CHK_000007,2026-01-03 11:21:00,6684.0,UPI,DESKTOP,207,154,2,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,231.0,293,0.4963,1,OTP_FRICTION,0.9997229,RETRY_LINK,4010.89,0.9997,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.532 | time=293min | amount=₹6684 | ERV=₹4011,0.5324517640220487
CHK_000008,2026-01-06 15:10:00,11382.0,WALLET,MOBILE,124,237,0,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,179,0.4471,0,PAYMENT_FAILURE,0.9997234,STOP,0.0,0.9997,Stopped by rule: MAX_TOUCHES,0.4526600535765346
CHK_000009,2026-01-29 20:03:00,14383.0,WALLET,MOBILE,784,162,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,194.0,1042,0.25,1,PRICE_HESITATION,0.9997919,NUDGE,2585.74,0.9998,NUDGE chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.195 | time=1042min | amount=₹14383 | ERV=₹2586,0.1954101659704287
CHK_000010,2026-01-17 12:16:00,3306.0,WALLET,DESKTOP,558,430,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,3072,0.2132,0,PRICE_HESITATION,0.9997235,STOP,0.0,0.9997,Stopped by rule: COOLDOWN,0.14882773342698863
CHK_000011,2026-01-28 07:53:00,1791.0,CARD,MOBILE,629,585,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,251.0,3102,0.1693,1,DISTRACTION_TIMEOUT,0.9997867,STOP,0.0,0.9998,Stopped by rule: LOW_RECOVERABILITY,0.219911800579018
CHK_000012,2026-01-04 10:11:00,702.0,UPI,DESKTOP,363,142,0,OTP,Poor,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,205.0,240,0.4766,1,OTP_FRICTION,0.9997552,STOP,0.0,0.9998,Stopped by rule: MAX_TOUCHES,0.5438517758873495
CHK_000013,2026-01-30 05:47:00,3011.0,WALLET,DESKTOP,528,278,1,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,352,0.5186,0,OTP_FRICTION,0.9997613,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.5206067097167475
CHK_000014,2026-01-02 06:02:00,8620.0,UPI,DESKTOP,592,350,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,41.0,304,0.3506,1,DISTRACTION_TIMEOUT,0.99949944,NUDGE,3471.01,0.9995,NUDGE chosen | cause=DISTRACTION_TIMEOUT | confidence=0.999 | recoverability=0.381 | time=304min | amount=₹8620 | ERV=₹3471,0.3805949485951689
CHK_000015,2026-01-21 17:35:00,7658.0,WALLET,DESKTOP,188,252,0,OTP,Poor,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,988,0.4345,0,OTP_FRICTION,0.9997774,NUDGE,3066.59,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.435 | time=988min | amount=₹7658 | ERV=₹3067,0.43526330365130944
CHK_000016,2026-01-02 18:37:00,2098.0,UPI,MOBILE,452,385,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,277,0.2869,0,PRICE_HESITATION,0.99969506,STOP,0.0,0.9997,Stopped by rule: IGNORED_INTERVENTIONS,0.2244528641250852
CHK_000017,2026-01-16 13:19:00,1718.0,CARD,DESKTOP,520,232,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,264,0.4242,0,DISTRACTION_TIMEOUT,0.99967134,STOP,0.0,0.9997,Stopped by rule: IGNORED_INTERVENTIONS,0.38767784038230135
CHK_000018,2026-01-28 15:10:00,6100.0,UPI,DESKTOP,572,715,0,PAYMENT,Poor,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,1,97.0,233,0.1908,1,DISTRACTION_TIMEOUT,0.9997849,STOP,0.0,0.9998,Stopped by rule: LOW_RECOVERABILITY,0.39336872657617883
CHK_000019,2026-01-22 16:16:00,1106.0,WALLET,MOBILE,218,207,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,281,0.6619,0,PAYMENT_FAILURE,0.9997868,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.4372628956941049
CHK_000020,2026-01-26 10:31:00,7955.0,CARD,DESKTOP,274,405,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,1,0,PAYMENT_FAILURE,0,,26,0.5733,0,PAYMENT_FAILURE,0.9995883,PAYMENT_METHOD_SWITCH,4343.89,0.9996,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.479 | time=26min | amount=₹7955 | ERV=₹4344,0.47899859440144466
CHK_000021,2026-01-21 13:12:00,7471.0,WALLET,MOBILE,625,235,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,288,0.3903,0,DISTRACTION_TIMEOUT,0.9994867,STOP,0.0,0.9995,Stopped by rule: COOLDOWN,0.38339357749241354
CHK_000022,2026-01-16 17:57:00,8009.0,UPI,MOBILE,424,199,0,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,108,0.2816,0,PAYMENT_FAILURE,0.9996811,PAYMENT_METHOD_SWITCH,4239.82,0.9997,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.464 | time=108min | amount=₹8009 | ERV=₹4240,0.46436959254049603
CHK_000023,2026-01-16 01:39:00,1376.0,CARD,DESKTOP,469,66,1,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,105.0,120,0.6311,1,PAYMENT_FAILURE,0.99976665,PAYMENT_METHOD_SWITCH,725.23,0.9998,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.462 | time=120min | amount=₹1376 | ERV=₹725,0.46233013716698046
CHK_000024,2026-01-23 08:57:00,7949.0,CARD,DESKTOP,426,148,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,276.0,848,0.1566,1,PRICE_HESITATION,0.9997874,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.20200628026316575
CHK_000025,2026-01-10 09:00:00,1080.0,UPI,DESKTOP,426,470,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,69,0.5744,0,OTP_FRICTION,0.9997199,STOP,0.0,0.9997,Stopped by rule: COOLDOWN,0.586145596567016
CHK_000026,2026-01-21 05:24:00,7117.0,CARD,MOBILE,551,540,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,100.0,250,0.2679,1,DISTRACTION_TIMEOUT,0.9996922,STOP,0.0,0.9997,Stopped by rule: IGNORED_INTERVENTIONS,0.39022571273489437
CHK_000027,2026-01-30 03:35:00,6611.0,WALLET,DESKTOP,143,277,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,7.0,33,0.3127,1,PRICE_HESITATION,0.9997652,NUDGE,1433.01,0.9998,NUDGE chosen | cause=PRICE_HESITATION | confidence=1.000 | recoverability=0.236 | time=33min | amount=₹6611 | ERV=₹1433,0.23561100220216535
CHK_000028,2026-01-23 10:40:00,5913.0,WALLET,DESKTOP,342,31,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,264,0.111,0,PRICE_HESITATION,0.99973613,STOP,0.0,0.9997,Stopped by rule: COOLDOWN,0.22502195787664248
CHK_000029,2026-01-11 15:05:00,11761.0,UPI,MOBILE,537,134,0,PAYMENT,Poor,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,1381,0.1234,0,PAYMENT_FAILURE,0.9996333,STOP,0.0,0.9996,Stopped by rule: LOW_RECOVERABILITY,0.34284661771353936
CHK_000030,2026-01-13 03:46:00,2071.0,WALLET,MOBILE,215,389,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,17.0,84,0.3888,1,DISTRACTION_TIMEOUT,0.99980086,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.4233709125984495
CHK_000031,2026-01-01 11:38:00,895.0,CARD,MOBILE,624,252,2,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,144,0.4242,0,OTP_FRICTION,0.9997613,STOP,0.0,0.9998,Stopped by rule: COOLDOWN,0.5664949809181827
CHK_000032,2026-01-08 17:30:00,9651.0,WALLET,DESKTOP,270,58,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,215,0.1411,0,PRICE_HESITATION,0.9997818,STOP,0.0,0.9998,Stopped by rule: IGNORED_INTERVENTIONS,0.22719211359759447
CHK_000033,2026-01-17 22:34:00,5346.0,CARD,MOBILE,128,93,2,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,0,,283,0.4906,0,PAYMENT_FAILURE,0.9997272,STOP,0.0,0.9997,Stopped by rule: IGNORED_INTERVENTIONS,0.43697680626028623
CHK_000034,2026-01-19 17:22:00,1865.0,UPI,DESKTOP,619,150,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,346,0.4846,0,DISTRACTION_TIMEOUT,0.99967134,STOP,0.0,0.9997,Stopped by rule: MAX_TOUCHES,0.3734615876766727
CHK_000035,2026-01-11 18:05:00,4768.0,UPI,MOBILE,399,145,0,OTP,Average,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,0,,708,0.3678,0,OTP_FRICTION,0.999762,STOP,0.0,0.9998,Stopped by rule: MAX_TOUCHES,0.4648250082763061
CHK_000036,2026-01-24 07:51:00,7029.0,UPI,DESKTOP,253,192,2,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,2693,0.218,0,PRICE_HESITATION,0.99974066,STOP,0.0,0.9997,Stopped by rule: COOLDOWN,0.15506297466480973
CHK_000037,2026-01-22 01:54:00,6690.0,WALLET,MOBILE,352,504,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,4272,0.1178,0,DISTRACTION_TIMEOUT,0.9997348,STOP,0.0,0.9997,Stopped by rule: IGNORED_INTERVENTIONS,0.2130157122114248
CHK_000038,2026-01-21 15:03:00,7319.0,UPI,DESKTOP,209,155,0,PAYMENT,Poor,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,145,0.4995,0,PAYMENT_FAILURE,0.9997197,PAYMENT_METHOD_SWITCH,3822.74,0.9997,PAYMENT_METHOD_SWITCH chosen | cause=PAYMENT_FAILURE | confidence=1.000 | recoverability=0.458 | time=145min | amount=₹7319 | ERV=₹3823,0.4581610709966453
CHK_000039,2026-01-25 16:27:00,1424.0,CARD,MOBILE,677,746,0,PAYMENT,Good,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,1,271.0,289,0.1778,1,DISTRACTION_TIMEOUT,0.9997867,STOP,0.0,0.9998,Stopped by rule: LOW_RECOVERABILITY,0.3832173258632484
CHK_000040,2026-01-17 13:13:00,4425.0,UPI,MOBILE,640,436,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,1069,0.5105,0,OTP_FRICTION,0.9997639,NUDGE,1744.21,0.9998,NUDGE chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.428 | time=1069min | amount=₹4425 | ERV=₹1744,0.4284476300877899
CHK_000041,2026-01-27 21:57:00,1960.0,UPI,MOBILE,202,72,2,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,51,0.7426,0,OTP_FRICTION,0.99970454,RETRY_LINK,1305.78,0.9997,RETRY_LINK chosen | cause=OTP_FRICTION | confidence=1.000 | recoverability=0.591 | time=51min | amount=₹1960 | ERV=₹1306,0.5911381380171833
