checkout_id,timestamp,amount,payment_method,device_type,session_duration_seconds,inactivity_seconds,retry_count,checkout_step_reached,network_quality,payment_status,failure_reason_code,otp_attempts,upi_collect_expired,dropoff_cause,recovered,time_to_recovery_minutes,minutes_since_dropoff,recovery_probability_ground_truth,was_recovered,touch_count,minutes_since_last_intervention,consecutive_ignored_interventions,opt_out_flag,recoverability_score,decision,stop_reason
CHK_000001,2026-01-11 23:15:00,7390.0,WALLET,DESKTOP,406,122,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,131,0.2606,0,0,182,1,False,0.2606,CONTINUE,NONE
CHK_000002,2026-01-28 05:08:00,6555.0,CARD,DESKTOP,613,364,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,190,0.2509,0,4,863,2,False,0.2509,STOP,MAX_TOUCHES
CHK_000003,2026-01-25 20:13:00,2399.0,WALLET,MOBILE,746,263,1,OTP,Good,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,1,64.0,89,0.428,1,2,547,0,False,0.428,CONTINUE,NONE
CHK_000004,2026-01-12 21:59:00,8726.0,CARD,DESKTOP,385,100,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,222.0,310,0.5042,1,1,881,1,False,0.5042,CONTINUE,NONE
CHK_000005,2026-01-04 22:35:00,4797.0,UPI,DESKTOP,389,370,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,338,0.6868,0,0,36,1,False,0.6868,CONTINUE,NONE
CHK_000006,2026-01-28 03:39:00,7708.0,WALLET,MOBILE,276,214,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,777.0,779,0.3214,1,0,13,0,False,0.3214,CONTINUE,NONE
CHK_000007,2026-01-03 11:21:00,6684.0,UPI,DESKTOP,207,154,2,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,231.0,293,0.4963,1,0,922,1,False,0.4963,CONTINUE,NONE
CHK_000008,2026-01-06 15:10:00,11382.0,WALLET,MOBILE,124,237,0,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,179,0.4471,0,3,634,1,False,0.4471,STOP,MAX_TOUCHES
CHK_000009,2026-01-29 20:03:00,14383.0,WALLET,MOBILE,784,162,1,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,194.0,1042,0.25,1,1,594,0,False,0.25,CONTINUE,NONE
CHK_000010,2026-01-17 12:16:00,3306.0,WALLET,DESKTOP,558,430,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,3072,0.2132,0,2,158,0,False,0.2132,STOP,COOLDOWN
CHK_000011,2026-01-28 07:53:00,1791.0,CARD,MOBILE,629,585,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,251.0,3102,0.1693,1,0,493,1,False,0.1693,STOP,LOW_RECOVERABILITY
CHK_000012,2026-01-04 10:11:00,702.0,UPI,DESKTOP,363,142,0,OTP,Poor,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,205.0,240,0.4766,1,4,328,0,False,0.4766,STOP,MAX_TOUCHES
CHK_000013,2026-01-30 05:47:00,3011.0,WALLET,DESKTOP,528,278,1,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,352,0.5186,0,2,613,2,False,0.5186,STOP,IGNORED_INTERVENTIONS
CHK_000014,2026-01-02 06:02:00,8620.0,UPI,DESKTOP,592,350,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,41.0,304,0.3506,1,0,848,0,False,0.3506,CONTINUE,NONE
CHK_000015,2026-01-21 17:35:00,7658.0,WALLET,DESKTOP,188,252,0,OTP,Poor,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,988,0.4345,0,0,82,0,False,0.4345,CONTINUE,NONE
CHK_000016,2026-01-02 18:37:00,2098.0,UPI,MOBILE,452,385,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,277,0.2869,0,0,555,3,False,0.2869,STOP,IGNORED_INTERVENTIONS
CHK_000017,2026-01-16 13:19:00,1718.0,CARD,DESKTOP,520,232,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,264,0.4242,0,0,579,3,False,0.4242,STOP,IGNORED_INTERVENTIONS
CHK_000018,2026-01-28 15:10:00,6100.0,UPI,DESKTOP,572,715,0,PAYMENT,Poor,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,1,97.0,233,0.1908,1,1,559,0,False,0.1908,STOP,LOW_RECOVERABILITY
CHK_000019,2026-01-22 16:16:00,1106.0,WALLET,MOBILE,218,207,2,PAYMENT,Good,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,281,0.6619,0,0,568,2,False,0.6619,STOP,IGNORED_INTERVENTIONS
CHK_000020,2026-01-26 10:31:00,7955.0,CARD,DESKTOP,274,405,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,1,0,PAYMENT_FAILURE,0,,26,0.5733,0,0,586,0,False,0.5733,CONTINUE,NONE
CHK_000021,2026-01-21 13:12:00,7471.0,WALLET,MOBILE,625,235,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,288,0.3903,0,1,21,0,False,0.3903,STOP,COOLDOWN
CHK_000022,2026-01-16 17:57:00,8009.0,UPI,MOBILE,424,199,0,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,108,0.2816,0,0,131,0,False,0.2816,CONTINUE,NONE
CHK_000023,2026-01-16 01:39:00,1376.0,CARD,DESKTOP,469,66,1,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,105.0,120,0.6311,1,0,464,0,False,0.6311,CONTINUE,NONE
CHK_000024,2026-01-23 08:57:00,7949.0,CARD,DESKTOP,426,148,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,276.0,848,0.1566,1,0,455,2,False,0.1566,STOP,IGNORED_INTERVENTIONS
CHK_000025,2026-01-10 09:00:00,1080.0,UPI,DESKTOP,426,470,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,69,0.5744,0,1,301,1,False,0.5744,STOP,COOLDOWN
CHK_000026,2026-01-21 05:24:00,7117.0,CARD,MOBILE,551,540,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,100.0,250,0.2679,1,2,954,3,False,0.2679,STOP,IGNORED_INTERVENTIONS
CHK_000027,2026-01-30 03:35:00,6611.0,WALLET,DESKTOP,143,277,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,1,7.0,33,0.3127,1,0,929,1,False,0.3127,CONTINUE,NONE
CHK_000028,2026-01-23 10:40:00,5913.0,WALLET,DESKTOP,342,31,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,264,0.111,0,1,266,0,False,0.111,STOP,COOLDOWN
CHK_000029,2026-01-11 15:05:00,11761.0,UPI,MOBILE,537,134,0,PAYMENT,Poor,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,1381,0.1234,0,1,798,1,False,0.1234,STOP,LOW_RECOVERABILITY
CHK_000030,2026-01-13 03:46:00,2071.0,WALLET,MOBILE,215,389,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,1,17.0,84,0.3888,1,0,394,3,False,0.3888,STOP,IGNORED_INTERVENTIONS
CHK_000031,2026-01-01 11:38:00,895.0,CARD,MOBILE,624,252,2,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,144,0.4242,0,1,119,1,False,0.4242,STOP,COOLDOWN
CHK_000032,2026-01-08 17:30:00,9651.0,WALLET,DESKTOP,270,58,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,215,0.1411,0,0,245,2,False,0.1411,STOP,IGNORED_INTERVENTIONS
CHK_000033,2026-01-17 22:34:00,5346.0,CARD,MOBILE,128,93,2,PAYMENT,Good,FAILED,AUTH_TIMEOUT,1,1,PAYMENT_FAILURE,0,,283,0.4906,0,0,567,3,False,0.4906,STOP,IGNORED_INTERVENTIONS
CHK_000034,2026-01-19 17:22:00,1865.0,UPI,DESKTOP,619,150,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,346,0.4846,0,3,37,0,False,0.4846,STOP,MAX_TOUCHES
CHK_000035,2026-01-11 18:05:00,4768.0,UPI,MOBILE,399,145,0,OTP,Average,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,0,,708,0.3678,0,4,244,1,False,0.3678,STOP,MAX_TOUCHES
CHK_000036,2026-01-24 07:51:00,7029.0,UPI,DESKTOP,253,192,2,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,2693,0.218,0,2,20,2,False,0.218,STOP,COOLDOWN
CHK_000037,2026-01-22 01:54:00,6690.0,WALLET,MOBILE,352,504,0,PAYMENT,Poor,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,4272,0.1178,0,0,109,3,False,0.1178,STOP,IGNORED_INTERVENTIONS
CHK_000038,2026-01-21 15:03:00,7319.0,UPI,DESKTOP,209,155,0,PAYMENT,Poor,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,0,,145,0.4995,0,0,605,0,False,0.4995,CONTINUE,NONE
CHK_000039,2026-01-25 16:27:00,1424.0,CARD,MOBILE,677,746,0,PAYMENT,Good,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,1,271.0,289,0.1778,1,1,393,1,False,0.1778,STOP,LOW_RECOVERABILITY
CHK_000040,2026-01-17 13:13:00,4425.0,UPI,MOBILE,640,436,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,1069,0.5105,0,0,409,1,False,0.5105,CONTINUE,NONE
CHK_000041,2026-01-27 21:57:00,1960.0,UPI,MOBILE,202,72,2,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,51,0.7426,0,0,986,0,False,0.7426,CONTINUE,NONE
CHK_000042,2026-01-30 17:03:00,3919.0,WALLET,MOBILE,214,91,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,596,0.2466,0,1,647,1,False,0.2466,CONTINUE,NONE
CHK_000043,2026-01-17 20:45:00,7044.0,CARD,MOBILE,482,426,1,OTP,Good,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,252,0.5511,0,0,742,0,False,0.5511,CONTINUE,NONE
CHK_000044,2026-01-19 00:14:00,1831.0,CARD,MOBILE,428,185,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,188.0,285,0.5848,1,3,7,0,False,0.5848,STOP,MAX_TOUCHES
CHK_000045,2026-01-14 18:56:00,3332.0,UPI,DESKTOP,627,359,1,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,2,0,PAYMENT_FAILURE,0,,111,0.418,0,0,443,0,False,0.418,CONTINUE,NONE
CHK_000046,2026-01-13 16:31:00,1166.0,WALLET,MOBILE,272,179,0,OTP,Good,FAILED,OTP_TIMEOUT,1,0,OTP_FRICTION,0,,317,0.4198,0,1,327,1,False,0.4198,STOP,COOLDOWN
CHK_000047,2026-01-28 14:29:00,8376.0,UPI,DESKTOP,209,452,0,CART,Average,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,239,0.1255,0,0,886,0,False,0.1255,STOP,LOW_RECOVERABILITY
CHK_000048,2026-01-04 01:52:00,10747.0,CARD,DESKTOP,372,199,0,PAYMENT,Good,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,154,0.2208,0,1,289,0,False,0.2208,STOP,COOLDOWN
CHK_000049,2026-01-04 13:26:00,2146.0,CARD,MOBILE,542,258,0,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,107.0,119,0.7163,1,1,762,0,False,0.7163,CONTINUE,NONE
CHK_000050,2026-01-05 07:49:00,625.0,UPI,MOBILE,656,164,0,PAYMENT,Average,FAILED,GATEWAY_ERROR,0,0,PAYMENT_FAILURE,1,12.0,34,0.639,1,0,510,0,False,0.639,CONTINUE,NONE
CHK_000051,2026-01-11 22:08:00,7238.0,WALLET,MOBILE,673,180,0,PAYMENT,Good,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,2901,0.357,0,4,911,0,False,0.357,STOP,MAX_TOUCHES
CHK_000052,2026-01-08 08:29:00,4235.0,UPI,DESKTOP,316,266,0,OTP,Poor,FAILED,OTP_TIMEOUT,0,0,OTP_FRICTION,1,8.0,828,0.2103,1,2,360,0,False,0.2103,CONTINUE,NONE
CHK_000053,2026-01-16 12:30:00,617.0,CARD,MOBILE,623,454,2,PAYMENT,Average,FAILED,INSUFFICIENT_FUNDS,0,0,PAYMENT_FAILURE,0,,118,0.5018,0,3,908,1,False,0.5018,STOP,MAX_TOUCHES
CHK_000054,2026-01-28 02:51:00,2548.0,WALLET,MOBILE,269,161,0,OTP,Average,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,1,14.0,161,0.6228,1,3,598,2,False,0.6228,STOP,MAX_TOUCHES
CHK_000055,2026-01-12 13:24:00,2719.0,UPI,MOBILE,192,187,2,OTP,Average,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,38,0.5846,0,1,715,0,False,0.5846,CONTINUE,NONE
CHK_000056,2026-01-22 13:17:00,735.0,CARD,DESKTOP,453,575,0,PAYMENT,Average,ABANDONED,NONE,1,0,DISTRACTION_TIMEOUT,0,,229,0.2093,0,3,218,0,False,0.2093,STOP,MAX_TOUCHES
CHK_000057,2026-01-17 04:45:00,5320.0,CARD,DESKTOP,344,24,0,OTP,Good,FAILED,OTP_TIMEOUT,3,0,OTP_FRICTION,0,,296,0.5854,0,0,405,1,False,0.5854,CONTINUE,NONE
CHK_000058,2026-01-06 10:04:00,6484.0,WALLET,DESKTOP,142,82,1,PAYMENT,Average,FAILED,AUTH_TIMEOUT,0,1,PAYMENT_FAILURE,0,,3411,0.312,0,0,991,0,False,0.312,CONTINUE,NONE
CHK_000059,2026-01-19 21:22:00,1702.0,UPI,DESKTOP,733,467,0,OTP,Average,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,1,37.0,157,0.6708,1,0,752,3,False,0.6708,STOP,IGNORED_INTERVENTIONS
CHK_000060,2026-01-27 11:41:00,3145.0,WALLET,MOBILE,641,716,0,PAYMENT,Average,ABANDONED,NONE,0,0,DISTRACTION_TIMEOUT,0,,324,0.163,0,0,922,1,False,0.163,STOP,LOW_RECOVERABILITY
CHK_000061,2026-01-15 07:29:00,594.0,WALLET,DESKTOP,471,301,0,OTP,Poor,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,0,,200,0.3264,0,0,831,0,True,0.3264,STOP,OPT_OUT
CHK_000062,2026-01-08 06:17:00,9783.0,UPI,DESKTOP,509,190,2,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,92,0.3979,0,0,769,0,False,0.3979,CONTINUE,NONE
CHK_000063,2026-01-15 06:10:00,13725.0,CARD,DESKTOP,160,426,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1385,0.0411,0,2,620,1,False,0.0411,STOP,LOW_RECOVERABILITY
CHK_000064,2026-01-02 21:08:00,7612.0,CARD,MOBILE,488,156,0,OTP,Good,FAILED,OTP_TIMEOUT,4,0,OTP_FRICTION,0,,90,0.7419,0,0,767,0,False,0.7419,CONTINUE,NONE
CHK_000065,2026-01-06 22:57:00,9166.0,WALLET,MOBILE,597,366,0,OTP,Good,FAILED,OTP_TIMEOUT,2,0,OTP_FRICTION,1,67.0,180,0.5961,1,0,992,0,False,0.5961,CONTINUE,NONE
CHK_000066,2026-01-04 07:17:00,10895.0,CARD,DESKTOP,588,68,0,PAYMENT,Good,FAILED,GATEWAY_ERROR,2,0,PAYMENT_FAILURE,0,,4049,0.2369,0,1,793,0,False,0.2369,CONTINUE,NONE
CHK_000067,2026-01-02 05:19:00,11181.0,UPI,MOBILE,514,230,0,CART,Good,ABANDONED,NONE,0,0,PRICE_HESITATION,0,,1403,0.1378,0,0,219,2,False,0.1378,STOP,IGNORED_INTERVENTIONS
